NU_ANO,NT_GER,NT_FG,NT_CE_D1,NT_CE_D2,NT_CE_D3
2021,5,7.5,0,0,0
2021,5,7.5,0,0,0
2021,5,16.3,25,0,0
2021,5,7.5,0,0,0
2021,5,7.5,0,0,0
2021,5,7.5,0,0,0
2021,5,3.4,10,10,0
2021,5,7.5,0,0,0
2021,5,7.5,10,0,0
2021,5.1,8.4,60,20,0
2021,5.1,7.5,0,0,0
2021,5.1,9.1,0,0,0
2021,5.1,7.5,0,0,0
2021,5.1,7,0,0,0
2021,5.1,7.5,0,0,0
2021,5.1,7.5,0,0,0
2021,5.1,13.6,0,45,0
2021,5.1,8.1,0,0,0
2021,5.1,18.9,10,0,0
2021,5.1,9.5,0,0,0
2021,5.1,20.2,0,0,0
2021,5.2,10.2,70,0,0
2021,5.2,9.7,0,0,0
2021,5.2,6.8,20,0,0
2021,5.2,20.6,0,0,0
2021,5.2,3.2,0,35,10
2021,5.2,4.4,10,15,10
2021,5.3,21.2,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,9,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.6,10,0,50
2021,5.3,1,25,15,20
2021,5.3,0,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,0,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,8.8,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,21.1,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.3,7.5,0,0,0
2021,5.4,6.6,25,55,20
2021,5.4,18.6,20,0,0
2021,5.4,21.4,0,0,0
2021,5.4,9.4,0,0,0
2021,5.4,8.8,0,0,0
2021,5.4,9.1,0,0,0
2021,5.4,1,15,30,20
2021,5.4,18.5,0,20,0
