NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;NU_ANO;NT_GER;NT_FG;NT_CE_D1;NT_CE_D2;NT_CE_D3;TP_SEXO;NU_IDADE;QE_I01;QE_I02;QE_I04;QE_I05;QE_I08;QE_I10;QE_I11;QE_I14;QE_I15;QE_I23;QE_I25;QE_I26
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;B;D;B;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;B;D;B;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;B;D;B;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;D;D;C;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;19;A;A;D;D;C;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;D;D;C;A;A;A;A;B;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;D;D;C;A;A;A;A;B;A;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.7;10.1;0;30;0;F;19;A;A;B;B;A;A;A;A;A;A;A;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;19;A;A;B;C;B;A;A;A;A;A;C;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;19;A;A;B;C;B;B;A;A;A;B;C;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;B;D;B;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;B;D;C;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;7.6;30;20;0;F;20;A;A;B;D;C;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;C;D;C;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;D;D;C;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;D;E;D;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;D;E;D;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;D;E;D;B;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;A;D;E;D;C;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;19;A;A;D;E;D;C;A;A;A;B;E;A
2021;133;2;1;10028;4301;1;5300108;53;5;2021;3.8;15;0;0;0;F;20;A;B;E;E;E;C;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.3;17;0;0;0;F;20;A;A;A;B;A;A;A;A;A;A;A;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.3;6.8;25;45;0;F;20;A;A;A;B;A;A;A;A;A;A;A;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.3;0;40;0;0;F;19;A;A;B;B;A;A;A;A;A;A;A;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.4;2.6;10;0;0;F;19;A;A;B;B;A;A;A;A;A;A;A;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.4;0;30;5;10;F;19;A;A;B;B;A;A;A;A;A;A;B;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.4;17.6;0;0;0;F;20;A;A;B;C;A;A;A;A;A;A;B;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.4;2.4;0;0;15;F;20;A;A;B;C;A;A;A;A;A;B;B;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.4;5.4;0;0;0;F;19;A;A;B;C;A;A;A;A;A;B;B;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.4;17.6;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;B;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.5;15;0;0;20;F;20;A;A;B;C;A;A;A;A;A;B;B;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.5;17.9;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;B;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.5;0;10;10;15;F;19;A;A;B;C;A;A;A;A;A;B;C;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.5;14.5;0;25;0;F;19;A;A;B;C;A;A;A;A;A;B;C;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.5;11.1;15;10;20;F;19;A;A;B;C;A;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.5;18;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.5;17.8;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.6;7.5;0;0;0;F;20;A;A;C;C;A;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.6;3.2;20;70;10;F;20;A;A;C;C;A;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.6;18.4;0;0;0;F;20;A;A;C;C;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.6;10.9;50;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.6;0;50;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.6;2.6;25;5;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;19;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;10.5;10;30;15;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.4;75;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;18.9;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;C;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;D;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;15;25;0;0;F;19;A;A;D;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;D;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;7.5;0;0;0;F;20;A;A;D;D;B;A;A;A;A;B;E;A
2021;142;2;1;10028;3502;1;5300108;53;5;2021;4.7;15;0;25;0;F;20;A;A;D;D;B;A;A;A;A;B;E;A
