NU_ANO,CO_CURSO,NU_IDADE
2021,1204643,19
2021,77098,19
2021,1180799,19
2021,1427323,19
2021,6566,19
2021,123526,19
2021,100734,19
2021,59988,19
2021,1204643,19
2021,1298977,19
2021,5000456,19
2021,87280,19
2021,81640,19
2021,70488,19
2021,1322609,19
2021,11243,19
2021,5000015,19
2021,64854,19
2021,99820,19
2021,123549,19
2021,60266,19
2021,100305,19
2021,20699,19
2021,1258538,19
2021,72377,19
2021,1382777,19
2021,100305,19
2021,1204643,19
2021,1420136,19
2021,123677,19
2021,1001938,19
2021,123530,19
2021,1210192,19
2021,1180796,19
2021,76373,19
2021,48968,19
2021,1330710,19
2021,89380,19
2021,1205714,19
2021,1388165,19
2021,89380,19
2021,100305,19
2021,52007,19
2021,1188348,19
2021,1382777,19
2021,107380,19
2021,89380,19
2021,109476,19
2021,89380,19
2021,19204,19
2021,114346,19
2021,107836,19
2021,123549,19
2021,1116091,19
2021,1214121,19
2021,1485428,19
2021,96655,19
2021,97346,19
2021,1001938,19
2021,1132278,19
2021,18387,19
2021,18694,19
2021,35172,19
2021,5000454,19
2021,72259,19
2021,1322330,19
2021,123523,19
2021,1180796,19
2021,59972,19
2021,72377,19
2021,1160946,19
2021,1258848,19
2021,52007,19
2021,100305,19
2021,63726,19
2021,89380,19
2021,1180799,19
2021,1333186,19
2021,1204643,19
2021,1363505,19
2021,1286800,19
2021,100305,19
2021,42571,19
2021,114097,19
2021,1260286,19
2021,89380,19
2021,114097,19
2021,1474142,19
2021,48895,19
2021,66597,19
2021,1258528,19
2021,59993,19
2021,1261584,19
2021,1485386,19
2021,1112324,19
2021,67380,19
2021,10162,19
2021,59993,19
2021,77098,19
2021,59977,19
2021,96885,19
2021,1204643,19
2021,1131979,19
2021,1180796,19
2021,5000454,19
2021,1180796,19
2021,1186955,19
2021,1180799,19
2021,115246,19
2021,1180799,19
2021,1257511,19
2021,1001938,19
2021,75288,19
2021,59993,19
2021,74649,19
2021,89380,19
2021,48895,19
2021,1382777,19
2021,89380,19
2021,1284534,19
2021,59993,19
2021,98301,19
2021,115664,19
2021,102869,19
2021,76554,19
2021,83702,19
2021,1404068,19
2021,59596,19
2021,5492,19
2021,1399018,19
2021,52007,19
2021,8583,19
2021,113829,19
2021,1177465,19
2021,1001938,19
2021,1205437,19
2021,1308132,19
2021,96885,19
2021,1427574,19
2021,102869,19
2021,1337241,19
2021,89380,19
2021,89380,19
2021,89380,19
2021,38807,19
2021,1286489,19
2021,100305,19
2021,97243,19
2021,70051,19
2021,1076195,19
2021,100305,19
2021,1001938,19
2021,1429880,19
2021,4729,19
2021,60266,19
2021,105052,19
2021,1279604,19
2021,58360,19
2021,60040,19
2021,77098,19
2021,37291,19
2021,70488,19
2021,100305,19
2021,89380,19
2021,87280,19
2021,1427574,19
2021,18346,19
2021,98126,19
2021,98301,19
2021,89380,19
2021,1348195,19
2021,59989,19
2021,1306249,19
2021,1058390,19
2021,76851,19
2021,76313,19
2021,73398,19
2021,1107278,19
2021,1314234,19
2021,76851,19
2021,97882,19
2021,52007,19
2021,4865,19
2021,72259,19
2021,89380,19
2021,58360,19
2021,58360,19
2021,70492,19
